x,y,z,zrotation,SARwb
2.8,0.2,0.75,4.92,0.06115
2.8,0.2,1.35,4.92,0.03626
2.8,0.2,2,4.92,0.0152
2.8,0.36,-2,8.81,0.01508
2.8,0.36,-1.35,8.81,0.03686
2.8,0.36,-0.75,8.81,0.06181
2.8,0.36,-0.3,8.81,0.07337
2.8,0.36,0,8.81,0.07469
2.8,0.36,0.3,8.81,0.07105
2.8,0.36,0.75,8.81,0.05779
2.8,0.36,1.35,8.81,0.03432
2.8,0.36,2,8.81,0.01445
2.8,0.6,-2,14.48,0.01328
2.8,0.6,-1.35,14.48,0.03204
2.8,0.6,-0.75,14.48,0.0533
2.8,0.6,-0.3,14.48,0.06284
2.8,0.6,0,14.48,0.06419
2.8,0.6,0.3,14.48,0.06147
2.8,0.6,0.75,14.48,0.05019
2.8,0.6,1.35,14.48,0.02979
2.8,0.6,2,14.48,0.01269
2.8,0.9,-2,21.18,0.01039
2.8,0.9,-1.35,21.18,0.02447
2.8,0.9,-0.75,21.18,0.04028
2.8,0.9,-0.3,21.18,0.04761
2.8,0.9,0,21.18,0.04867
2.8,0.9,0.3,21.18,0.04651
2.8,0.9,0.75,21.18,0.03779
2.8,0.9,1.35,21.18,0.0227
2.8,0.9,2,21.18,0.00991
2.8,1.4,-2,31.08,0.00569
2.8,1.4,-1.35,31.08,0.01261
2.8,1.4,-0.75,31.08,0.02004
2.8,1.4,-0.3,31.08,0.02341
2.8,1.4,0,31.08,0.02387
2.8,1.4,0.3,31.08,0.02284
2.8,1.4,0.75,31.08,0.0188
2.8,1.4,1.35,31.08,0.01164
2.8,1.4,2,31.08,0.00543
2.8,2,-2,40.73,0.00225
2.8,2,-1.35,40.73,0.00427
2.8,2,-0.75,40.73,0.00635
2.8,2,-0.3,40.73,0.00728
2.8,2,0,40.73,0.00741
2.8,2,0.3,40.73,0.00712
2.8,2,0.75,40.73,0.00599
2.8,2,1.35,40.73,0.00396
2.8,2,2,40.73,0.00222
3.9,0,-2,0,0.01803
3.9,0,-1.35,0,0.02938
3.9,0,-0.75,0,0.03828
3.9,0,-0.3,0,0.04174
3.9,0,0,0,0.0424
3.9,0,0.3,0,0.04163
3.9,0,0.75,0,0.03737
3.9,0,1.35,0,0.02797
3.9,0,2,0,0.01738
