x,y,z,zrotation,SARwb
   0.00000,   1.40000,  -1.35000,  90.00000,   0.00194
   0.00000,   1.40000,  -0.81000,  90.00000,   0.00131
   0.00000,   1.40000,  -0.30000,  90.00000,   0.00086
   0.00000,   1.40000,   0.00000,  90.00000,   0.00092
   0.00000,   1.40000,   0.30000,  90.00000,   0.00132
   0.00000,   1.40000,   0.81000,  90.00000,   0.00245
   0.00000,   1.40000,   1.35000,  90.00000,   0.00322
   0.00000,   1.40000,   2.00000,  90.00000,   0.00292
   0.00000,   2.00000,  -2.00000,  90.00000,   0.00092
   0.00000,   2.00000,  -1.35000,  90.00000,   0.00067
   0.00000,   2.00000,  -0.81000,  90.00000,   0.00036
   0.00000,   2.00000,  -0.30000,  90.00000,   0.00020
   0.00000,   2.00000,   0.00000,  90.00000,   0.00023
   0.00000,   2.00000,   0.30000,  90.00000,   0.00039
   0.00000,   2.00000,   0.81000,  90.00000,   0.00083
   0.00000,   2.00000,   1.35000,  90.00000,   0.00131
   0.00000,   2.00000,   2.00000,  90.00000,   0.00157
   0.25000,   0.10000,  -2.00000,  90.00000,   0.00685
   0.25000,   0.10000,  -1.35000,  90.00000,   0.02242
   0.25000,   0.10000,  -0.81000,  90.00000,   0.17522
   0.25000,   0.10000,  -0.30000,  90.00000,   0.61220
   0.25000,   0.10000,   0.00000,  90.00000,   0.61465
   0.25000,   0.10000,   0.30000,  90.00000,   0.39934
   0.25000,   0.10000,   0.81000,  90.00000,   0.60113
   0.25000,   0.10000,   1.35000,  90.00000,   0.03743
   0.25000,   0.10000,   2.00000,  90.00000,   0.01028
   0.25000,   0.20000,  -2.00000,  90.00000,   0.00679
   0.25000,   0.20000,  -1.35000,  90.00000,   0.02095
   0.25000,   0.20000,  -0.81000,  90.00000,   0.09248
   0.25000,   0.20000,  -0.30000,  90.00000,   0.22795
   0.25000,   0.20000,   0.00000,  90.00000,   0.23341
   0.25000,   0.20000,   0.30000,  90.00000,   0.18266
   0.25000,   0.20000,   0.81000,  90.00000,   0.18395
   0.25000,   0.20000,   1.35000,  90.00000,   0.03213
   0.25000,   0.20000,   2.00000,  90.00000,   0.00994
   0.25000,   0.36000,  -2.00000,  90.00000,   0.00660
   0.25000,   0.36000,  -1.35000,  90.00000,   0.01785
   0.25000,   0.36000,  -0.81000,  90.00000,   0.04455
   0.25000,   0.36000,  -0.30000,  90.00000,   0.07426
   0.25000,   0.36000,   0.00000,  90.00000,   0.07631
   0.25000,   0.36000,   0.30000,  90.00000,   0.07492
   0.25000,   0.36000,   0.81000,  90.00000,   0.05319
   0.25000,   0.36000,   1.35000,  90.00000,   0.02460
   0.25000,   0.36000,   2.00000,  90.00000,   0.00910
   0.25000,   0.60000,  -2.00000,  90.00000,   0.00599
   0.25000,   0.60000,  -1.35000,  90.00000,   0.01249
   0.25000,   0.60000,  -0.81000,  90.00000,   0.01876
   0.25000,   0.60000,  -0.30000,  90.00000,   0.02087
   0.25000,   0.60000,   0.00000,  90.00000,   0.02196
   0.25000,   0.60000,   0.30000,  90.00000,   0.02371
   0.25000,   0.60000,   0.81000,  90.00000,   0.02232
   0.25000,   0.60000,   1.35000,  90.00000,   0.01575
   0.25000,   0.60000,   2.00000,  90.00000,   0.00791
   0.25000,   0.90000,  -2.00000,  90.00000,   0.00486
   0.25000,   0.90000,  -1.35000,  90.00000,   0.00728
   0.25000,   0.90000,  -0.81000,  90.00000,   0.00738
   0.25000,   0.90000,  -0.30000,  90.00000,   0.00613
   0.25000,   0.90000,   0.00000,  90.00000,   0.00640
   0.25000,   0.90000,   0.30000,  90.00000,   0.00748
