f[MHz],er,sigma [S/m],Pabs [W],SAR (whole body average) [W/kg]
1000,22.4,0.52,0.0013018,2.1434e-05
1000,22.4,0.676,0.0012836,2.1134e-05
1000,22.4,0.832,0.0012581,2.0715e-05
1000,32.0,0.208,0.001203,1.9807e-05
1000,32.0,0.364,0.0012151,2.0006e-05
1000,32.0,0.52,0.0012097,1.9917e-05
1000,32.0,0.676,0.0011968,1.9705e-05
1000,32.0,0.832,0.0011802,1.9432e-05
1000,41.6,0.208,0.0010661,1.7553e-05
1000,41.6,0.364,0.0011007,1.8123e-05
1000,41.6,0.52,0.0011099,1.8274e-05
1000,41.6,0.676,0.001108,1.8243e-05
1000,41.6,0.832,0.0011005,1.812e-05
1000,51.2,0.208,0.0010259,1.6891e-05
1000,51.2,0.364,0.0010358,1.7054e-05
1000,51.2,0.52,0.0010375,1.7082e-05
1000,51.2,0.676,0.0010354,1.7047e-05
1000,51.2,0.832,0.0010307,1.697e-05
1200,9.6,0.22,0.0015048,2.4776e-05
1200,9.6,0.385,0.0014906,2.4543e-05
1200,9.6,0.55,0.0014372,2.3663e-05
1200,9.6,0.715,0.0013769,2.2671e-05
1200,9.6,0.88,0.0013181,2.1703e-05
1200,16.8,0.22,0.0013252,2.182e-05
1200,16.8,0.385,0.0013493,2.2217e-05
1200,16.8,0.55,0.001334,2.1964e-05
1200,16.8,0.715,0.0013048,2.1483e-05
1200,16.8,0.88,0.00127,2.0911e-05
1200,24.0,0.22,0.0012144,1.9995e-05
1200,24.0,0.385,0.0012406,2.0426e-05
1200,24.0,0.55,0.0012354,2.034e-05
1200,24.0,0.715,0.0012195,2.0079e-05
1200,24.0,0.88,0.0011986,1.9735e-05
1200,31.2,0.22,0.0011089,1.8257e-05
1200,31.2,0.385,0.001139,1.8754e-05
1200,31.2,0.55,0.0011435,1.8828e-05
1200,31.2,0.715,0.0011375,1.8729e-05
1200,31.2,0.88,0.001126,1.854e-05
1200,38.4,0.22,0.0010634,1.7509e-05
1200,38.4,0.385,0.0010758,1.7713e-05
1200,38.4,0.55,0.0010754,1.7706e-05
1200,38.4,0.715,0.0010702,1.762e-05
1200,38.4,0.88,0.0010621,1.7488e-05
1400,9.2,0.232,0.0014539,2.3938e-05
1400,9.2,0.406,0.0014545,2.3948e-05
1400,9.2,0.58,0.0014093,2.3205e-05
1400,9.2,0.754,0.0013547,2.2305e-05
1400,9.2,0.928,0.0013001,2.1407e-05
1400,16.1,0.232,0.0013017,2.1432e-05
1400,16.1,0.406,0.001319,2.1718e-05
1400,16.1,0.58,0.0013032,2.1457e-05
1400,16.1,0.754,0.0012764,2.1015e-05
1400,16.1,0.928,0.001245,2.0498e-05
1400,23.0,0.232,0.0011719,1.9295e-05
1400,23.0,0.406,0.001201,1.9774e-05
1400,23.0,0.58,0.0011994,1.9749e-05
1400,23.0,0.754,0.0011868,1.9541e-05
1400,23.0,0.928,0.0011691,1.9249e-05
1400,29.9,0.232,0.0011095,1.8268e-05
1400,29.9,0.406,0.0011183,1.8413e-05
1400,29.9,0.58,0.001115,1.8359e-05
1400,29.9,0.754,0.001107,1.8226e-05
1400,29.9,0.928,0.0010961,1.8046e-05
1400,36.8,0.232,0.0010034,1.6521e-05
1400,36.8,0.406,0.0010264,1.6899e-05
1400,36.8,0.58,0.0010341,1.7027e-05
1400,36.8,0.754,0.0010342,1.7028e-05
1400,36.8,0.928,0.00103,1.6959e-05
1500,8.8,0.24,0.0014529,2.3922e-05
1500,8.8,0.42,0.0014431,2.3761e-05
